symbol,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple
H,32.0,,
He,46.0,,
Li,133.0,124.0,
Be,102.0,90.0,85.0
B,85.0,78.0,73.0
C,75.0,67.0,60.0
N,71.0,60.0,54.0
O,63.0,57.0,53.0
F,64.0,59.0,53.0
Ne,67.0,96.0,
Na,155.0,160.0,
Mg,139.0,132.0,127.0
Al,126.0,113.0,111.0
Si,115.99999999999999,107.0,102.0
P,111.00000000000001,102.0,94.0
S,103.0,94.0,95.0
Cl,99.0,95.0,93.0
Ar,96.0,107.0,96.0
K,196.0,193.0,
Ca,171.0,147.0,133.0
Sc,148.0,116.0,114.0
Ti,136.0,117.0,108.0
V,134.0,112.0,106.0
Cr,122.0,111.0,103.0
Mn,119.0,105.0,103.0
Fe,115.99999999999999,109.0,102.0
Co,111.00000000000001,103.0,96.0
Ni,110.00000000000001,101.0,101.0
Cu,112.00000000000001,115.0,120.0
Zn,118.0,120.0,
Ga,124.0,117.0,121.0
Ge,121.0,111.0,114.0
As,121.0,114.0,106.0
Se,115.99999999999999,107.0,107.0
Br,113.99999999999999,109.0,110.0
Kr,117.0,121.0,108.0
Rb,210.0,202.0,
Sr,185.0,157.0,139.0
Y,163.0,130.0,124.0
Zr,154.0,127.0,121.0
Nb,147.0,125.0,116.0
Mo,138.0,121.0,113.0
Tc,128.0,120.0,110.0
Ru,125.0,114.0,103.0
Rh,125.0,110.0,106.0
Pd,120.0,117.0,112.0
Ag,128.0,139.0,137.0
Cd,136.0,144.0,
In,142.0,136.0,146.0
Sn,140.0,130.0,132.0
Sb,140.0,133.0,127.0
Te,136.0,128.0,121.0
I,133.0,129.0,125.0
Xe,131.0,135.0,122.0
Cs,231.99999999999997,209.0,
Ba,196.0,161.0,149.0
La,180.0,139.0,139.0
Ce,163.0,137.0,131.0
Pr,176.0,138.0,128.0
Nd,174.0,137.0,
Pm,173.0,135.0,
Sm,172.0,134.0,
Eu,168.0,134.0,
Gd,169.0,135.0,132.0
Tb,168.0,135.0,
Dy,167.0,133.0,
Ho,166.0,133.0,
Er,165.0,133.0,
Tm,164.0,131.0,
Yb,170.0,129.0,
Lu,162.0,131.0,131.0
Hf,152.0,128.0,122.0
Ta,146.0,126.0,119.0
W,137.0,120.0,115.0
Re,131.0,119.0,110.0
Os,129.0,116.0,109.0
Ir,122.0,115.0,107.0
Pt,123.0,112.0,110.0
Au,124.0,121.0,123.0
Hg,133.0,142.0,
Tl,144.0,142.0,150.0
Pb,144.0,135.0,137.0
Bi,151.0,141.0,135.0
Po,145.0,135.0,129.0
At,147.0,138.0,138.0
Rn,142.0,145.0,133.0
Fr,223.0,218.0,
Ra,200.99999999999997,173.0,159.0
Ac,186.0,153.0,140.0
Th,175.0,143.0,136.0
Pa,169.0,138.0,129.0
U,170.0,134.0,118.0
Np,171.0,136.0,116.0
Pu,172.0,135.0,
Am,166.0,135.0,
Cm,166.0,136.0,
Bk,168.0,139.0,
Cf,168.0,140.0,
Es,165.0,140.0,
Fm,167.0,,
Md,173.0,139.0,
No,176.0,,
Lr,161.0,141.0,
Rf,157.0,140.0,131.0
Db,149.0,136.0,126.0
Sg,143.0,128.0,121.0
Bh,141.0,128.0,119.0
Hs,134.0,125.0,118.0
Mt,129.0,125.0,113.0
Ds,128.0,116.0,118.0
Rg,121.0,116.0,118.0
Cn,122.0,137.0,130.0
Nh,136.0,,
Fl,143.0,,
Mc,162.0,,
Lv,175.0,,
Ts,165.0,,
Og,157.0,,
